id;Families;prod;ag;arq
1;710F2I318;4917.4;NA;NA
1;710F2I321;6150.1;NA;NA
1;711F2I58;5236.1;NA;NA
1;712F2I100;7154.4;NA;NA
1;712F2I103;4601.6;NA;NA
1;712F2I105;5210.1;NA;NA
1;712F2I106;4886.2;NA;NA
1;712F2I109;5135.7;NA;NA
1;712F2I110;5754.6;NA;NA
1;712F2I113;5805.3;NA;NA
1;713F2I213;6270.9;NA;NA
1;713F2I222;6200.4;NA;NA
1;713F2I225;7050.6;NA;NA
1;714F2I378;4478.7;NA;NA
1;714F2I379;5007.2;NA;NA
1;715F2I153;6038.8;NA;NA
1;715F2I154;5687.4;NA;NA
1;715F2I155;6122.1;NA;NA
1;715F2I156;5439.3;NA;NA
1;715F2I158;6323.3;NA;NA
1;715F2I160;5268.8;NA;NA
1;715F2I167;5348.9;NA;NA
1;715F2I170;6380.9;NA;NA
1;Madrepérola_386;2184.2;NA;NA
1;Pérola_391;2825.8;NA;NA
1;Uai_400;6096.7;NA;NA
1;VC25_382;7035.9;NA;NA
2;696F2I324;6737.59;1.83;NA
2;696F2I325;7131.18;2.05;NA
2;696F2I327;6340.41;1.94;NA
2;696F2I330;7107.44;2.36;NA
2;696F2I332;7405.62;2.06;NA
2;696F2I333;7122.33;2.25;NA
2;696F2I334;7290.86;2.69;NA
2;696F2I335;6782.18;2.38;NA
2;696F2I337;6713.43;2.01;NA
2;696F2I340;7252.53;2.59;NA
2;697F2I43;7750.38;2.33;NA
2;697F2I44;6856.81;2.12;NA
2;697F2I46;8592.52;1.82;NA
2;697F2I48;6852.58;2.18;NA
2;697F2I50;7548.48;1.92;NA
2;697F2I51;7613.6;2.04;NA
2;697F2I52;8126.37;1.85;NA
2;697F2I56;7637.02;2.29;NA
2;698F2I229;6776.65;1.83;NA
2;698F2I230;7423.11;1.99;NA
2;698F2I232;7494.34;1.83;NA
2;699F2I134;7334.7;2.12;NA
2;699F2I138;6893.24;1.96;NA
2;699F2I143;6352.65;2.07;NA
2;700F2I290;7751.32;1.94;NA
2;700F2I292;7203.93;2.46;NA
2;700F2I295;8283.64;2.17;NA
2;700F2I296;8317.59;2.12;NA
2;700F2I302;8541.98;2.29;NA
2;700F2I304;7910.32;2.29;NA
2;701F2I79;7222.81;2.3;NA
2;701F2I83;7592.19;2.32;NA
2;701F2I85;6862.11;2.02;NA
2;701F2I86;8022.4;2.21;NA
2;701F2I87;7811.2;2.03;NA
2;701F2I95;7769.11;2.24;NA
2;702F2I116;7804.48;2.03;NA
2;702F2I119;8031.29;2.07;NA
2;702F2I120;9073.53;1.95;NA
2;702F2I121;7664.29;1.82;NA
2;702F2I123;7733.97;2.03;NA
2;702F2I124;7426.1;2.3;NA
2;702F2I131;7769.86;1.96;NA
2;702F2I132;7655.79;2.04;NA
2;703F2I20;6607.38;2.02;NA
2;703F2I22;7105.1;1.83;NA
2;703F2I23;7210.42;2.04;NA
2;703F2I26;7385.98;2.3;NA
2;703F2I27;7708.75;2.07;NA
2;703F2I28;8262.15;1.92;NA
2;703F2I29;7048.28;2.28;NA
2;703F2I30;7593.55;2.14;NA
2;703F2I31;6458.31;1.92;NA
2;703F2I32;8753.43;1.79;NA
2;703F2I33;9053.37;1.97;NA
2;703F2I34;8167.23;2.14;NA
2;703F2I35;8708.5;2.16;NA
2;703F2I36;7756.83;2.3;NA
2;703F2I38;7706.66;1.9;NA
2;704F2I271;7806.66;1.91;NA
2;705F2I184;7521.6;2.03;NA
2;706F2I249;8832.27;2.37;NA
2;706F2I251;6953.18;2.36;NA
2;706F2I252;8398.55;2.13;NA
2;706F2I253;8044.56;2.12;NA
2;706F2I256;8343.99;2.49;NA
2;706F2I257;7401.12;2.38;NA
2;706F2I258;8209.28;1.97;NA
2;706F2I259;7731.93;2.37;NA
2;706F2I261;7983.35;1.96;NA
2;706F2I263;7449.9;2.36;NA
2;706F2I264;7695.86;2.5;NA
2;706F2I266;7770.86;2.02;NA
2;707F2I1;7358.23;2.12;NA
